Merek,Model,Varian,Tahun,Transmisi,jarak_tempuh_max
Mercedes-Benz,C-Class,C250,2016,Automatic,15000.0
Suzuki,Baleno,1.5,2017,Manual,25000.0
Datsun,Go+,Panca T,2016,Manual,65000.0
Mazda,CX-7,2.3,2011,Automatic Triptonic,95000.0
Hyundai,i10,1.1 L,2011,Manual,70000.0
Honda,Brio,E,2015,Manual,10000.0
Mercedes-Benz,CLS-Class,CLS350,2012,Automatic Triptonic,35000.0
Mitsubishi,Outlander,Lain-lain,2014,Automatic Triptonic,65000.0
KIA,Lain-lain,Lain-lain,2013,Automatic Triptonic,30000.0
Ford,Ecosport,Titanium,2014,Automatic,40000.0
Mitsubishi,Xpander,ULTIMATE A/T,2019,Automatic Triptonic,5000.0
Nissan,Evalia,Lain-lain,2012,Automatic,105000.0
